TARGET_BAD_FLAG,TARGET_LOSS_AMT,LOAN,IMP_MORTDUE,M_MORTDUE,IMP_VALUE,M_VALUE,IMP_YOJ,M_YOJ,IMP_DEROG,M_DEROG,IMP_DELINQ,M_DELINQ,IMP_CLAGE,M_CLAGE,IMP_NINQ,M_NINQ,IMP_CLNO,M_CLNO,IMP_DEBTINC,M_DEBTINC,FLAG.Job.Mgr,FLAG.Job.Office,FLAG.Job.Other,FLAG.Job.ProfExe,FLAG.Job.Sales,FLAG.Job.Self,FLAG.Reason.DebtCon,FLAG.Reason.HomeImp
0,0,1975.42,68547,0,132589,0,11.3,0,0,1,0,1,278.9,0,0,0,11,0,33.33,0,0,0,0,0,0,1,0,1
0,0,7063.7,68747,0,90723,0,11.6,0,0,0,0,0,261.7,0,1,0,6,0,22.21,0,1,0,0,0,0,0,1,0
0,0,39423.64,122325,0,29757,0,11.1,0,0,0,0,1,56.9,0,0,0,19,0,43.9,0,0,0,1,0,0,0,1,0
0,0,2251.91,45411,0,97554,0,13.8,0,0,0,2,0,115.5,0,2,0,20,0,43.57,0,0,1,0,0,0,0,1,0
0,0,4545.47,91440,0,107327,0,6.8,0,0,0,0,0,180.0,1,1,0,6,0,30.54,0,0,0,0,1,0,0,1,0
0,0,35158.26,57935,0,72768,0,9.0,0,0,0,2,0,188.3,0,0,0,21,1,33.03,0,0,0,1,0,0,0,1,0
1,29133.0,35242.37,88996,0,94769,0,9.8,0,0,0,0,0,159.5,0,2,0,33,0,23.12,0,0,0,0,1,0,0,0,1
1,12796.54,9763.2,44988,0,152002,0,17.9,0,1,0,1,0,154.8,0,1,0,26,0,19.19,0,0,1,0,0,0,0,1,0
1,15171.7,17811.0,33200,0,124320,0,12.2,0,0,0,1,0,130.9,0,0,0,25,0,18.1,0,1,0,0,0,0,0,1,0
0,0,37128.31,87020,0,78912,0,7.0,0,0,0,0,0,328.1,0,7,0,12,0,36.78,0,0,0,0,0,1,0,1,0
0,0,3229.45,100734,0,12938,0,8.8,0,1,0,1,0,184.0,0,2,0,9,0,26.78,0,0,0,0,0,1,0,0,1
0,0,8966.11,66772,0,68513,0,7.1,0,0,1,0,0,259.2,0,2,0,29,0,33.0,1,0,0,0,0,1,0,0,1
0,0,39502.09,46571,0,183847,0,9.6,0,0,1,0,0,116.0,0,1,0,25,0,43.87,0,1,0,0,0,0,0,1,0
0,0,33344.58,107662,0,112087,0,13.0,0,1,0,2,0,312.4,0,3,0,23,0,40.36,0,1,0,0,0,0,0,0,1
0,0,10731.66,82898,0,118574,0,5.3,0,1,0,2,0,180.0,1,0,0,10,0,49.08,0,0,1,0,0,0,0,0,1
1,555.97,28349.85,64683,0,109509,0,14.7,0,0,0,1,0,303.1,0,4,0,28,0,26.4,0,1,0,0,0,0,0,1,0
0,0,11187.39,73000,1,38446,0,2.0,0,1,0,2,0,180.0,1,0,0,26,0,33.0,1,0,0,0,1,0,0,1,0
0,0,36910.06,49033,0,88979,0,5.9,0,0,0,0,0,224.9,0,4,0,27,0,42.22,0,0,0,1,0,0,0,0,1
0,0,31644.59,45350,0,76347,0,3.4,0,0,0,0,0,121.6,0,5,0,35,0,33.0,1,0,0,0,1,0,0,1,0
0,0,35559.34,51826,0,92248,0,2.2,0,0,0,0,0,190.6,0,0,0,9,0,33.0,1,0,1,0,0,0,0,0,1
0,0,39527.81,0,0,38820,0,7.4,0,0,0,2,0,95.6,0,1,0,35,0,33.0,1,0,0,1,0,0,0,1,0
0,0,13468.67,50089,0,122059,0,12.9,0,1,0,1,0,203.8,0,3,0,14,0,18.14,0,1,0,0,0,0,0,0,1
0,0,16209.48,132076,0,47164,0,13.6,0,0,0,0,0,187.6,0,1,0,2,0,15.97,0,0,0,0,0,0,1,1,0
1,12658.47,17715.9,54454,0,115530,0,13.9,0,0,0,2,0,37.9,0,3,0,44,0,33.0,1,1,0,0,0,0,0,1,0
1,16824.41,1794.82,69959,0,147982,0,16.4,0,0,0,0,0,179.5,0,0,0,23,0,34.15,0,0,0,0,0,0,1,1,0
1,3577.48,27933.96,62554,0,163098,0,16.2,0,2,0,2,0,106.4,0,2,0,32,0,20.95,0,0,0,0,0,0,1,1,0
0,0,29618.02,16454,0,90708,0,21.6,0,0,0,1,0,197.6,0,1,0,8,0,33.0,1,0,0,1,0,0,0,1,0
0,0,14838.17,71300,0,137399,0,1.1,0,0,0,0,0,240.0,0,1,1,10,0,28.07,0,0,0,1,0,0,0,0,1
0,0,14406.54,89882,0,61178,0,7.0,0,0,0,2,0,304.0,0,0,0,19,0,43.53,0,1,0,0,0,0,0,1,0
0,0,15074.36,52756,0,167837,0,14.5,0,0,0,0,1,140.5,0,0,0,22,0,33.0,1,0,0,0,1,0,0,1,0
0,0,27771.59,57966,0,142163,0,6.8,0,0,0,0,0,193.4,0,0,0,12,0,33.0,1,0,0,0,0,0,1,1,0
0,0,9103.73,87253,0,165165,0,9.5,0,0,0,0,0,239.6,0,0,0,25,0,24.68,0,0,0,0,1,0,0,1,0
0,0,26257.75,31371,0,109022,0,6.6,0,0,0,0,0,130.4,0,0,0,21,1,33.13,0,0,0,1,0,0,0,0,1
1,12151.48,9928.05,36644,0,21596,0,10.2,0,0,0,1,0,271.7,0,3,0,21,0,24.95,0,1,0,0,0,0,0,1,0
0,0,28053.27,50074,0,206336,0,3.2,0,0,0,0,0,237.9,0,0,0,18,0,33.45,0,0,1,0,0,0,0,0,1
0,0,37179.24,16991,0,93685,0,5.6,0,0,0,1,0,400.9,0,4,0,35,0,43.17,0,0,0,0,0,1,0,0,1
0,0,19817.48,29481,0,109634,0,0.4,0,0,1,1,0,14.8,0,1,0,22,0,22.7,0,0,0,0,1,0,0,0,1
0,0,22524.78,44721,0,62896,0,10.7,0,0,0,0,1,175.6,0,0,0,11,0,20.29,0,1,0,0,0,0,0,1,0
0,0,24017.04,128642,0,34088,0,1.8,0,1,0,1,0,258.9,0,0,0,7,0,37.96,0,0,0,0,0,0,1,0,1
0,0,2400.06,73000,1,32146,0,2.6,0,0,0,1,0,57.3,0,1,1,23,0,33.0,1,0,0,0,0,1,0,0,1
0,0,31908.26,80818,0,116994,0,9.9,0,2,0,0,1,245.2,0,3,0,12,0,26.98,0,0,0,0,1,0,0,0,1
0,0,12782.75,116925,0,113922,0,6.4,0,0,1,2,0,171.4,0,1,0,43,0,30.1,0,0,0,1,0,0,0,1,0
0,0,14740.52,36584,0,53567,0,1.8,0,0,0,0,0,121.9,0,1,0,17,0,34.92,0,0,0,1,0,0,0,0,1
0,0,11021.83,92015,0,19971,0,10.4,0,2,0,2,0,267.1,0,0,0,24,0,33.0,1,0,0,0,0,1,0,1,0
0,0,27240.31,48144,0,48315,0,9.0,1,1,0,0,0,108.9,0,3,0,1,0,45.35,0,0,0,0,1,0,0,1,0
1,12688.48,35603.11,147441,0,36772,0,12.0,0,0,0,1,0,260.1,0,2,0,30,0,34.57,0,0,0,0,0,0,1,0,1
0,0,39135.86,58573,0,77581,0,11.7,0,0,0,1,0,328.1,0,2,0,18,0,33.0,1,0,1,0,0,0,0,1,0
0,0,6754.61,75445,0,99016,0,12.6,0,1,0,1,0,182.4,0,1,1,27,0,19.94,0,0,0,1,0,0,0,1,0
0,0,9640.44,62200,0,86968,0,6.2,0,0,0,0,0,143.7,0,2,0,28,0,33.0,1,0,0,0,0,1,0,0,1
0,0,24298.28,59784,0,152297,0,16.7,0,1,0,1,0,112.6,0,2,0,12,0,30.65,0,0,0,0,0,0,1,0,1
1,7337.54,33439.1,101347,0,161575,0,15.5,0,0,0,0,0,103.8,0,3,0,16,0,12.32,0,0,0,0,0,0,1,0,1
0,0,5220.52,59990,0,49617,0,17.8,0,1,0,0,0,167.8,0,1,0,20,0,38.02,0,0,0,1,0,0,0,0,1
1,4940.2,34924.65,35982,0,82566,0,20.4,0,1,0,0,0,248.7,0,1,1,19,0,24.16,0,0,0,0,0,0,1,0,1
0,0,18239.72,63270,0,175670,0,6.8,0,1,0,1,0,180.0,1,1,0,28,0,32.53,0,0,1,0,0,0,0,1,0
0,0,28443.18,77395,0,141770,0,2.0,0,0,0,0,0,81.4,0,0,0,23,0,34.09,0,0,0,0,0,1,0,0,1
0,0,36871.02,138638,0,146654,0,2.1,0,0,0,0,0,224.7,0,0,0,20,0,39.17,0,0,1,0,0,0,0,0,1
1,9433.29,24493.56,6302,0,85279,0,5.4,0,0,0,0,0,69.0,0,0,0,17,0,29.72,0,1,0,0,0,0,0,0,1
0,0,13105.91,103307,0,180583,0,13.6,0,1,0,0,0,38.1,0,0,0,26,0,22.19,0,0,1,0,0,0,0,1,0
0,0,32627.71,73000,1,0,0,19.6,0,1,0,0,0,128.5,0,1,1,6,0,29.37,0,0,0,0,1,0,0,0,1
0,0,34211.08,103836,0,80476,0,6.6,0,1,0,0,0,272.0,0,3,0,15,0,27.4,0,0,0,0,0,0,1,1,0
0,0,17512.85,48468,0,133592,0,16.6,0,0,0,2,0,256.4,0,1,1,3,0,33.43,0,0,1,0,0,0,0,1,0
0,0,31072.81,51910,0,125438,0,15.5,0,0,0,1,0,80.3,0,2,0,2,0,35.94,0,0,0,0,1,0,0,0,1
0,0,31346.84,31345,0,100144,0,9.0,1,0,0,0,0,323.5,0,2,0,24,0,33.0,1,0,1,0,0,0,0,0,1
0,0,37288.41,66679,0,66345,0,9.0,1,0,1,1,0,180.0,1,2,0,2,0,35.6,0,0,0,0,0,1,0,1,0
0,0,1741.15,77875,0,126017,0,1.7,0,1,0,1,0,301.0,0,2,0,11,0,21.65,0,1,0,0,0,0,0,0,1
0,0,17246.14,44067,0,205771,0,18.7,0,0,0,0,0,61.3,0,2,0,39,0,34.44,0,0,0,0,0,0,1,1,0
0,0,29672.29,67030,0,112771,0,14.5,0,1,0,0,1,65.7,0,1,1,23,0,50.98,0,0,0,0,0,1,0,0,1
0,0,30378.35,97231,0,52179,0,18.5,0,1,0,1,0,246.3,0,0,0,0,0,33.28,0,0,0,0,0,0,1,0,1
1,10238.05,24495.68,95054,0,50227,0,5.8,0,0,0,0,1,106.5,0,0,0,49,0,35.99,0,0,0,1,0,0,0,1,0
0,0,6568.4,73000,1,51914,0,10.2,0,0,0,0,0,101.4,0,1,0,8,0,33.0,1,0,0,0,0,0,1,1,0
0,0,16092.51,48525,0,98417,0,14.4,0,0,0,3,0,236.1,0,0,0,34,0,39.35,0,0,0,1,0,0,0,1,0
0,0,12324.13,65769,0,126059,0,12.0,0,1,0,1,0,119.7,0,0,0,16,0,35.2,0,0,0,0,0,0,1,0,1
0,0,30997.42,63192,0,208852,0,17.4,0,0,0,0,0,145.6,0,0,0,24,0,33.0,1,0,1,0,0,0,0,1,0
0,0,28663.95,19019,0,189135,0,9.0,0,1,0,0,0,279.2,0,2,0,19,0,20.85,0,1,0,0,0,0,0,1,0
1,13335.01,26016.7,25808,0,56298,0,0.7,0,0,0,0,0,27.3,0,2,0,24,0,34.24,0,0,0,1,0,0,0,0,1
0,0,34570.32,125379,0,130487,0,13.9,0,0,0,0,1,159.1,0,3,0,25,0,29.47,0,0,0,1,0,0,0,1,0
0,0,20432.36,26189,0,96114,0,16.8,0,0,0,0,0,201.9,0,0,0,12,0,17.98,0,0,0,0,1,0,0,0,1
1,9599.76,2995.15,107805,0,76878,0,13.4,0,0,0,0,0,206.5,0,2,0,12,0,30.29,0,1,0,0,0,0,0,1,0
